# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-1.968081809607139521e+00 -5.675309334936383676e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.966081809663703384e+00 -2.435309220334813118e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.964081809720267247e+00 -9.953091694007813739e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.962081809776831109e+00 4.446908815332502318e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.960081809833394972e+00 1.524690919733773797e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.958081809889958835e+00 4.044691008868329107e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.956081809946522698e+00 2.244690945200789600e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.954081810003086561e+00 3.324690983401313304e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.952081810059650424e+00 2.244690945200789600e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.950081810116214287e+00 2.604690957934297502e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.948081810172778150e+00 -4.235309284002352626e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.946081810229342013e+00 -4.955309309469368428e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.944081810285905876e+00 -8.915309449537954789e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.942081810342469739e+00 -1.143530953867251121e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.940081810399033602e+00 -1.467530965327408232e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.938081810455597465e+00 -1.611530970420811393e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.936081810512161328e+00 -1.791530976787565343e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.934081810568725190e+00 -1.935530981880968504e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.932081810625289053e+00 -2.403530998434528776e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.930081810681852916e+00 -2.475531000981230356e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.928081810738416779e+00 -2.223530992067774825e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.926081810794980642e+00 -2.187530990794424035e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.924081810851544505e+00 -2.331530995887827196e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.922081810908108368e+00 -1.683530972967512973e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.920081810964672231e+00 -1.359530961507355862e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.918081811021236094e+00 -8.915309449537954789e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.916081811077799957e+00 -5.675309334936383676e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.914081811134363820e+00 -6.353091566672734725e-02 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.912081811190927683e+00 3.684690996134821206e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.910081811247491546e+00 8.004691148936916578e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.908081811304055408e+00 6.924691110736392874e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.906081811360619271e+00 8.364691161670424480e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.904081811417183134e+00 8.364691161670424480e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.902081811473746997e+00 9.444691199870948184e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.900081811530310860e+00 4.044691008868329107e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.898081811586874723e+00 2.604690957934297502e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.896081811643438586e+00 8.469086879974233040e-03 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.894081811700002449e+00 -1.715309194867797316e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.892081811756566312e+00 -6.395309360403399479e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.890081811813130175e+00 -8.555309436804446888e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.888081811869694038e+00 -9.275309462271462690e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.886081811926257901e+00 -1.107530952593900331e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.884081811982821764e+00 -1.215530956413952701e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.882081812039385627e+00 -1.539530967874109812e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.880081812095949489e+00 -2.043530985701020875e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.878081812152513352e+00 -1.971530983154319294e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.876081812209077215e+00 -2.115530988247722455e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.874081812265641078e+00 -2.223530992067774825e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.872081812322204941e+00 -2.151530989521073245e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.870081812378768804e+00 -2.079530986974371665e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.868081812435332667e+00 -2.403530998434528776e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.866081812491896530e+00 -2.295530994614476406e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.864081812548460393e+00 -2.295530994614476406e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
